pmid,title,year,journal,pubmed_url,body_site,sequencing_method,sample_size,study_design,disease_condition,key_taxa,geographic_region,main_finding,data_extraction_confidence,extraction_method
38124501,Vaginal microbiome composition in reproductive-age women: a cross-sectional 16S rRNA amplicon study,2024,Microbiome,https://pubmed.ncbi.nlm.nih.gov/38124501/,vaginal,16S rRNA amplicon,312,cross-sectional,not_extracted,,,Not extracted (rule-based fallback),low,rule_based_fallback
37891234,"Gut microbiome dysbiosis in colorectal cancer: a 16S rRNA meta-analysis of 1,247 patients and controls",2023,Gut,https://pubmed.ncbi.nlm.nih.gov/37891234/,gut_feces,16S rRNA amplicon,18,case-control,not_extracted,,,Not extracted (rule-based fallback),low,rule_based_fallback
38203847,Salivary microbiome in periodontitis: 16S amplicon sequencing of 180 periodontitis patients and matched controls,2024,Journal of Dental Research,https://pubmed.ncbi.nlm.nih.gov/38203847/,saliva,16S rRNA amplicon,180,cross-sectional,not_extracted,,,Not extracted (rule-based fallback),low,rule_based_fallback
37654321,Skin microbiome diversity in atopic dermatitis: longitudinal 16S rRNA profiling during flare and remission,2023,Journal of Allergy and Clinical Immunology,https://pubmed.ncbi.nlm.nih.gov/37654321/,skin,16S rRNA amplicon,,longitudinal,not_extracted,,,Not extracted (rule-based fallback),low,rule_based_fallback
38056789,Urinary microbiome characterisation by 16S rRNA sequencing: associations with recurrent urinary tract infections in women,2024,European Urology,https://pubmed.ncbi.nlm.nih.gov/38056789/,urine,16S rRNA amplicon,225,cross-sectional,not_extracted,,,Not extracted (rule-based fallback),low,rule_based_fallback
37812345,Seminal microbiome and male fertility: 16S amplicon sequencing in 156 infertile and fertile men,2023,Human Reproduction,https://pubmed.ncbi.nlm.nih.gov/37812345/,semen,16S rRNA amplicon,78,cross-sectional,not_extracted,,,Not extracted (rule-based fallback),low,rule_based_fallback
38178901,Gut microbiome maturation in preterm infants: prospective 16S rRNA cohort study,2024,Nature Medicine,https://pubmed.ncbi.nlm.nih.gov/38178901/,gut_feces,16S rRNA amplicon,203,longitudinal,not_extracted,,,Not extracted (rule-based fallback),low,rule_based_fallback
37923456,16S rRNA profiling of the skin microbiome in psoriasis: a multicentre European case-control study,2023,British Journal of Dermatology,https://pubmed.ncbi.nlm.nih.gov/37923456/,skin,16S rRNA amplicon,148,case-control,not_extracted,,,Not extracted (rule-based fallback),low,rule_based_fallback
38091234,Diet-induced shifts in the human gut microbiome: a randomised controlled trial of Mediterranean diet versus Western diet,2024,Cell Host & Microbe,https://pubmed.ncbi.nlm.nih.gov/38091234/,gut_feces,16S rRNA amplicon,,RCT,not_extracted,,,Not extracted (rule-based fallback),low,rule_based_fallback
37745678,Oral microbiome in head and neck squamous cell carcinoma: salivary 16S amplicon sequencing of 97 patients,2023,Oral Oncology,https://pubmed.ncbi.nlm.nih.gov/37745678/,saliva,16S rRNA amplicon,97,cross-sectional,not_extracted,,,Not extracted (rule-based fallback),low,rule_based_fallback
38142356,Gut microbiome composition during pregnancy and risk of gestational diabetes mellitus: a prospective cohort of 614 women,2024,Diabetes Care,https://pubmed.ncbi.nlm.nih.gov/38142356/,gut_feces,16S rRNA amplicon,614,longitudinal,not_extracted,,,Not extracted (rule-based fallback),low,rule_based_fallback
37832109,Vaginal Lactobacillus species and risk of preterm birth: a nested case-control study within a UK birth cohort,2023,BJOG: An International Journal of Obstetrics and Gynaecology,https://pubmed.ncbi.nlm.nih.gov/37832109/,vaginal,16S rRNA amplicon,114,case-control,not_extracted,,,Not extracted (rule-based fallback),low,rule_based_fallback
38067234,Skin microbiome of healthcare workers: impact of handwashing frequency on Staphylococcus aureus colonisation,2024,Infection Control & Hospital Epidemiology,https://pubmed.ncbi.nlm.nih.gov/38067234/,skin,16S rRNA amplicon,136,cross-sectional,not_extracted,,,Not extracted (rule-based fallback),low,rule_based_fallback
37998765,Antibiotic perturbation of the gut microbiome in community-acquired pneumonia: a prospective observational study,2023,Clinical Infectious Diseases,https://pubmed.ncbi.nlm.nih.gov/37998765/,gut_feces,16S rRNA amplicon,89,longitudinal,not_extracted,,,Not extracted (rule-based fallback),low,rule_based_fallback
38110234,Urinary microbiome in bladder cancer: 16S rRNA sequencing reveals Fusobacterium enrichment in tumour patients,2024,European Urology Oncology,https://pubmed.ncbi.nlm.nih.gov/38110234/,urine,16S rRNA amplicon,98,case-control,not_extracted,,,Not extracted (rule-based fallback),low,rule_based_fallback
